1111|1|1|1|1|a1$
1112|1|1|1|2|a1$
1113|1|1|1|3|a2$
1114|1|1|1|4|a1$
1121|1|1|2|1|a3$
1122|1|1|2|2|a1$
1123|1|1|2|3|a2$
1124|1|1|2|4|a3$
1131|1|1|3|1|a1$
1132|1|1|3|2|a1$
1133|1|1|3|3|a1$
1134|1|1|3|4|a3$
1141|1|1|4|1|a2$
1142|1|1|4|2|a2$
1143|1|1|4|3|a3$
1144|1|1|4|4|a1$
1211|1|2|1|1|D$
1212|1|2|1|2|D$
1213|1|2|1|3|D$
1214|1|2|1|4|D$
1221|1|2|2|1|D$
1222|1|2|2|2|D$
1223|1|2|2|3|D$
1224|1|2|2|4|D$
1231|1|2|3|1|D$
1232|1|2|3|2|D$
1233|1|2|3|3|D$
1234|1|2|3|4|D$
1241|1|2|4|1|D$
1242|1|2|4|2|D$
1243|1|2|4|3|D$
1244|1|2|4|4|D$
1311|1|3|1|1|a2$
1312|1|3|1|2|a1$
1313|1|3|1|3|a3$
1314|1|3|1|4|a2$
1321|1|3|2|1|a1$
1322|1|3|2|2|a3$
1323|1|3|2|3|a2$
1324|1|3|2|4|a1$
1331|1|3|3|1|a2$
1332|1|3|3|2|a1$
1333|1|3|3|3|a3$
1334|1|3|3|4|a3$
1341|1|3|4|1|a2$
1342|1|3|4|2|a1$
1343|1|3|4|3|a2$
1344|1|3|4|4|a3$
1411|1|4|1|1|a1$
1412|1|4|1|2|a3$
1413|1|4|1|3|a2$
1414|1|4|1|4|a1$
1421|1|4|2|1|a3$
1422|1|4|2|2|a2$
1423|1|4|2|3|a1$
1424|1|4|2|4|a3$
1431|1|4|3|1|a1$
1432|1|4|3|2|a1$
1433|1|4|3|3|a2$
1434|1|4|3|4|a2$
1441|1|4|4|1|a2$
1442|1|4|4|2|a3$
1443|1|4|4|3|a3$
1444|1|4|4|4|a2$
1511|1|5|1|1|D$
1512|1|5|1|2|D$
1513|1|5|1|3|D$
1514|1|5|1|4|D$
1521|1|5|2|1|D$
1522|1|5|2|2|D$
1523|1|5|2|3|D$
1524|1|5|2|4|D$
1531|1|5|3|1|D$
1532|1|5|3|2|D$
1533|1|5|3|3|D$
1534|1|5|3|4|D$
1541|1|5|4|1|D$
1542|1|5|4|2|D$
1543|1|5|4|3|D$
1544|1|5|4|4|D$
2111|2|1|1|1|r1$
2112|2|1|1|2|r1$
2113|2|1|1|3|r2$
2114|2|1|1|4|r2$
2121|2|1|2|1|r1$
2122|2|1|2|2|r2$
2123|2|1|2|3|r2$
2124|2|1|2|4|r2$
2131|2|1|3|1|r2$
2132|2|1|3|2|r2$
2133|2|1|3|3|r2$
2134|2|1|3|4|r2$
2141|2|1|4|1|r1$
2142|2|1|4|2|r1$
2143|2|1|4|3|r1$
2144|2|1|4|4|r1$
2211|2|2|1|1|r1$
2212|2|2|1|2|r2$
2213|2|2|1|3|r1$
2214|2|2|1|4|r2$
2221|2|2|2|1|r1$
2222|2|2|2|2|r1$
2223|2|2|2|3|r2$
2224|2|2|2|4|r1$
2231|2|2|3|1|r1$
2232|2|2|3|2|r2$
2233|2|2|3|3|r2$
2234|2|2|3|4|r1$
2241|2|2|4|1|r2$
2242|2|2|4|2|r1$
2243|2|2|4|3|r2$
2244|2|2|4|4|r2$
2311|2|3|1|1|r1$
2312|2|3|1|2|r1$
2313|2|3|1|3|r2$
2314|2|3|1|4|r2$
2321|2|3|2|1|D$
2322|2|3|2|2|D$
2323|2|3|2|3|D$
2324|2|3|2|4|D$
2331|2|3|3|1|D$
2332|2|3|3|2|D$
2333|2|3|3|3|D$
2334|2|3|3|4|D$
2341|2|3|4|1|D$
2342|2|3|4|2|D$
2343|2|3|4|3|D$
2344|2|3|4|4|D$
2411|2|4|1|1|D$
2412|2|4|1|2|D$
2413|2|4|1|3|D$
2414|2|4|1|4|D$
2421|2|4|2|1|D$
2422|2|4|2|2|D$
2423|2|4|2|3|D$
2424|2|4|2|4|D$
2431|2|4|3|1|D$
2432|2|4|3|2|D$
2433|2|4|3|3|D$
2434|2|4|3|4|D$
2441|2|4|4|1|D$
2442|2|4|4|2|D$
2443|2|4|4|3|D$
2444|2|4|4|4|D$
2511|2|5|1|1|r1$
2512|2|5|1|2|r2$
2513|2|5|1|3|r1$
2514|2|5|1|4|r1$
2521|2|5|2|1|r1$
2522|2|5|2|2|r2$
2523|2|5|2|3|r2$
2524|2|5|2|4|r1$
2531|2|5|3|1|r2$
2532|2|5|3|2|r1$
2533|2|5|3|3|r2$
2534|2|5|3|4|r1$
2541|2|5|4|1|r2$
2542|2|5|4|2|r1$
2543|2|5|4|3|r2$
2544|2|5|4|4|r1$
3111|3|1|1|1|D$
3112|3|1|1|2|D$
